H,,,,,,YAQ x,YAQ x,,,,,
,,,,,,,,,,,,
Plate 1.19,1,2,3,4,5,6,7,8,9,10,11,12
A,,BNF x,BNF a,,,BHK a,BHK x,BHK a,,,,
B,,,,BNF a,,BHK x,,,,,,
C,BNF a,BNF a,,,BHK a,,BHK a,,,,,
D,BNF a,,,BNF x,BHK x,,,BHK x,,,,
E,,BPM a,,BPM x,BTG a,BTG x,,,YBN x,,YBN a,
F,,,BPM x,,,,,,,YBN a,,
G,BPM a,,BPM a,,,,,,,,,
H,BPM x,BPM x,,BPM a,,,,,,,,
,,,,,,,,,,,,
plate 1.20,1,2,3,4,5,6,7,8,9,10,11,12
A,,ANC a,ANC a,,BAM a,,,,,ANF x,,
B,ANC a,ANC x,ANC x,,,,,,,,,
C,ANC x,,,ANC a,BAM x,,,,,,,
D,,,,ANC x,,,,,,,,
E,,,,,BAK a,BAK a,BAK a,BAK a,,YBH a,YBH x,
F,YDC x,YDC a,YDC x,YDC a,BAK a,,,,,YBH x,,
G,,YDC x,YDC x,,,,,,YBH a,,YBH a,YBH x
H,,,,YDC x,,,,,YBH x,,,YBH x
,,,,,,,,,,,,
Plate 1.21,1,2,3,4,5,6,7,8,9,10,11,12
A,YDE x,YDE a,YDE x,,CHA a,CHA x,CHA x,CHA a,BAT a,BAT a,BAT a,BAT x
B,,YDE a,,,CHA x,CHA a,CHA a,CHA x,BAT x,BAT a,BAT x,BAT x
C,,,,,,,,,,,BAT 3.3,
D,YDE a,,YDE a,,,,,,,,,
E,,,,,,,BKS a,,,,,
F,,,,,BKS a,,BKS a,,,,BIC a,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Plate 1.22,1,2,3,4,5,6,7,8,9,10,11,12
A,BSB a,,,BSB x,,,,,CHM a,,CHM a,
B,,,BSB a,,,,,,,,,
C,,BSB x,,,,,,,CHM x,CHM x,,CHM x
D,,,BSB x,BSB a,,,,,,CHM a,,CHM a
E,,,CET a,,,,,,,,,
F,,CET a,,CET x,YAG x,,YAG a,YAG x,,,,
G,,,CET x,CET x,YAG a,YAG x,,YAG a,,,,
H,,CET x,,,,YAG x,YAG a,,,,,
,,,,,,,,,,,,
Plate 1.23,1,2,3,4,5,6,7,8,9,10,11,12
A,,CHB a,,CHB a,,,,,BER x,BER a,,
B,CHB a,CHB x,CHB x,,BQN a,BQN a,,,BER a,BER x,,
C,,,,CHB x,,,,,,,BER x,BER x
D,CHB x,,CHB a,,,,,,,,BER x,
E,YBT x,,,YBT a,,YBU a,YBU x,YBU a,,,,
F,,,YBT a,,YBU a,,YBU x,,,,,
G,,,,,,YBU a,,YBU a,,,,
H,,YBT x,,YBT x,YBU a,,,,,,,
,,,,,,,,,,,,
Plate 1.24,1,2,3,4,5,6,7,8,9,10,11,12
A,,YBW x,,,,,,,,,,
B,,,YBW x,YBW a,,,,,BAT a,,BAT x,
C,,YBW a,,,,,,,,BAT x,,BAT x
D,,,,,,,,,,BAT x,,BAT a
E,,BAK a,BAK a,BAK a,YCA x,YCA a,,,BIM x,,,
F,,,,,,,YCA a,YCA x,BIM a,BIM a,,
G,,BAK x,BAK x,,,YCA x,,,,BIM x,BIM a,BIM x
H,BAK x,BAK x,,BAK x,YCA a,,,YCA x,,,,
,,,,,,,,,,,,
Plate 1.25,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,CMP a,CMP x,CMP a
C,,,,,,,,,,CMP x,,CMP x
D,,,,,,,,,,,CMP x,
E,,,,,,,,,,BCM x,BCM x,BCM x
F,,,,,,,,,,,,
G,,,,,,,,,BCM a,BCM a,,BCM a
H,,,,,,,,,BCM a,,,
,,,,,,,,,,,,
Plate 1.26,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,BIF x,,BIF x,,,,,
B,,,,,,BIF x,,BIF x,,,,
C,,,,,,BIF x,BIF x,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,ANK x,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Plate 1.27,1,2,3,4,5,6,7,8,9,10,11,12
A,CRL x,,,,,,CDC x,,,CCR x,,
B,,,,CRL x,,,CDC x,,,,,
C,,CRL x,CRL x,,CDC x,CDC a,,CDC x,,,,
D,,,CRL x,CRL a,,CDC a,,CDC a,,,,
E,,,,,CDV x,CDV x,,CDV x,BIA a,,,
F,,,,,CDV a,,CDV a,,BIA x,,,
G,,,,,,,,,,BIA x,,
H,,,,,,,CDV x,,,BIA a,,BIA x
,,,,,,,,,,,,
Plate 1.28,1,2,3,4,5,6,7,8,9,10,11,12
A,BAG a,,,BAG a,,,,,,,,
B,,,BAG x,,,,,,,,,
C,BAG a,BAG x,BAG a,,,,,,,,,
D,,BAG x,,BAG a,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,BBH a,,
G,,,,,,,,,,,,
H,,,,,,,,,,,BBH x,
,,,,,,,,,,,,
Plate 1.29,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,CFP a,CFP a,
B,,,,,,,,,,CFP x,,
C,,,,,,,,,,CFP a,CFP a,
D,,,,,,,,,,,,
E,,,,BPT x,,,,,BKN x,,,
F,BPT x,,BPT x,,,,BKK a,BKK a,BKN a,BKN a,BKN x,
G,,,,BPT a,BKK x,,,BKK x,,,BKN x,
H,,,,,BKK a,,BKK x,,,,,
,,,,,,,,,,,,
Plate 1.30,1,2,3,4,5,6,7,8,9,10,11,12
A,,CDM x,,,,,,,,,,BMI x
B,,,CDM x,,BQG a,BQG a,BQG a,BQG a,BMI x,BMI a,BMI x,
C,,,CDM a,CDM a,BQG a,BQG x,,,BMI x,BMI x,,
D,,,,CDM x,,,BQG x,,,,,
E,,,,,ATP a,ATP x,ATP x,,,,,
F,,,,,,ATP x,,,,,,
G,,,,,ATP x,,ATP x,ATP x,BSE a,BSE a,,
H,,,,,,,,,,,BSE a,
,,,,,,,,,,,,
Plate 1.31,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,YAM x,YAM a,,,CGK a,CGK x,,CGK x
B,AQD a,,,,YAM a,,YAM a,,CGK a,,CGK x,
C,,,,,,,YAM a,YAM a,,,CGK a,
D,,,,,,,,YAM x,,,,
E,,,BHN a,BHN a,YDF a,YDF x,YDF a,,BQA a,,,
F,,,,BHN x,YDF a,YDF a,,,,BQA a,,
G,,,,,,,YDF x,,,,,BQA a
H,,,BHN x,,,,,,BQA x,BQA x,,BQA x
,,,,,,,,,,,,
Plate 1.32,1,2,3,4,5,6,7,8,9,10,11,12
A,,ALE a,,ALE a,YCF x,,YCF a,YCF x,BAN x,BAN a,,
B,,ALE x,,ALE x,YCF x,YCF x,,YCF a,,BAN x,BAN a,
C,,,ALE x,,YCF x,YCF a,,,,,,
D,,,,,,,,,,,,
E,,,,YBA a,,,BFP x,,,YDO a,,
F,,,YBA a,,,BFP a,BFP x,BFP x,YDO a,YDO x,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Plate 1.33,1,2,3,4,5,6,7,8,9,10,11,12
A,,CDS x,CDS a,,,,,,BBM a,,,
B,,,,,,,,,,BBM x,,
C,,,,CDS x,,,,,BBM a,,,
D,,,CDS a,CDS a,,,,,,BBM a,BBM x,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Plate 1.34,1,2,3,4,5,6,7,8,9,10,11,12
A,ANE a,ANE a,ANE x,,BCQ a,,,BCQ x,,,,
B,ANE a,,ANE a,,,,,,,,,
C,,,,ANE x,BCQ a,,BCQ x,BCQ a,,,CAC a,CAC a
D,,ANE x,,ANE a,,,BCQ a,,,CAC x,,
E,,,,,,BVV a,,BVV a,YAU x,,YAU a,
F,,,,,BVV x,,,BVV x,,,,YAU a
G,,,,,BVV a,BVV x,BVV x,,,,,
H,,,,,,,,,,YAU x,YAU x,
,,,,,,,,,,,,
Plate 1.35,1,2,3,4,5,6,7,8,9,10,11,12
A,AKN x,,,AKN x,CAB x,,,,,,,ANH x
B,,AKN x,,,,,,,ANH a,ANH x,,
C,,AKN a,AKN a,AKN a,CAB a,,,,,ANH a,ANH a,ANH a
D,,,,,,,,,ANH a,,,
E,,YAR a,,,,,,,ASS a,,,ASS a
F,,YAR x,YAR a,YAR a,,,CQA a,CQA x,,,,
G,YAR x,,YAR a,,CQA x,CQA a,CQA x,CQA x,ASS x,ASS x,,ASS x
H,YAR x,,,YAR x,,,,,,,,
,,,,,,,,,,,,
Plate 1.36,1,2,3,4,5,6,7,8,9,10,11,12
A,,CCS a,CCS a,,,,CEI a,,,CCC x,CCC x,CCC a
B,,,,,,CEI a,CEI x,,,,,
C,CCS x,,,,,,,CEI a,,CCC a,,
D,CCS a,CCS x,,,,CEI x,CEI x,CEI a,,,,CCC x
E,,CKT x,,CKT x,,AKH x,,,CAA x,CAA a,,
F,,,,CKT x,AKH x,AKH a,AKH a,AKH x,,,,
G,,,CKT x,,AKH x,,AKH x,AKH a,,,,
H,CKT a,CKT a,CKT a,,,,,,,,,
,,,,,,,,,,,,
Plate 1.37,1,2,3,4,5,6,7,8,9,10,11,12
A,BNR a,,BNR a,,,BEP a,BEP a,,CCG a,,CCG a,CCG a
B,BNR x,,,BNR x,,BEP a,BEP a,,,,CCG a,
C,,BNR x,,,BEP a,,,,,CCG x,,
D,,,,BNR x,,,,,CCG a,CCG a,,
E,CDN x,CDN a,CDN x,CDN a,CMB x,CMB x,,,,,,
F,CDN x,CDN x,CDN a,CDN x,,,,,,,,
G,CDN a,CDN x,CDN x,CDN a,,CMB x,,,,,,
H,,,CDN a,CDN x,CMB a,,,,,,,
,,,,,,,,,,,,
Plate 1.38,1,2,3,4,5,6,7,8,9,10,11,12
A,,JLE x,,JLE x,AKE x,AKE x,AKE a,AKE a,,,BRE x,
B,,,,JLE a,,AKE x,AKE x,,,,,
C,,,,,,,,AKE x,BRE x,,,
D,,,,,,,,,BRE a,,,
E,,,,,YCI a,YCI x,,,,,,
F,,,,,,,YCI a,,,,,
G,,,,,YCI x,,YCI a,YCI x,,,,
H,,,,,,YCI a,,YCI x,,,,
,,,,,,,,,,,,
Plate 1.39,1,2,3,4,5,6,7,8,9,10,11,12
A,BNH a,,BNH a,,AQA x,AQA a,,,BFR x,,,BFR x
B,BNH x,BNH a,BNH a,,,,,AQA a,BFR a,,,
C,,BNH x,,BNH x,,,,,,,,
D,,,,BNH a,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
Plate 1.40,1,2,3,4,5,6,7,8,9,10,11,12
A,CAE a,,CAE a,CAE x,,,,,,,CGB a,CGB x
B,,CAE x,,,,,,,CGB a,CGB a,,
C,,,,,,,,,,CGB x,CGB x,CGB a
D,CAE a,CAE a,,CAE x,,,,,CGB x,,,
E,,,JLF a,JLF x,,,,,,,,
F,JLF x,,JLF x,,,,,,,,,
G,JLF a,JLF a,,,,,,,,,,
H,,,,JLF a,,,,,,,,
,,,,,,,,,,,,
Plate 1.41,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,AVI x,,AVI x,,,,
D,,,,,,AVI a,,,,,,
E,,,ANLC a,ANLC a,,BIT a,,,,,,
F,,ANLC a,ANLC x,,,BIT x,BIT x,BIT x,,,,
G,,ANLC a,,,BIT x,,BIT a,,,,,
H,,,,,BIT a,,,,,,,
,,,,,,,,,,,,
Plate 1.42,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,RM11 x
B,,,,,,,,,RM11 a,,,
C,,,,,APT a,APT a,APT a,APT a,,,,
D,,,,,APT a,APT x,APT x,APT x,RM11 x,RM11 a,,
E,,,,,,,,ALE a,,,,
F,,,BBR x,,,,,,,,,
G,,BBR a,,BBR x,,ALE a,,,,,,
H,,,,,ALE a,,,,,,,
,,,,,,,,,,,,
Plate 1.43,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,BBB a,BBB a,BBB x,JLU x,JLU a,JLU x,
B,,BQT a,BQT x,BQT x,,BBB x,,,JLU a,JLU x,JLU x,
C,,BQT x,,,BBB a,,BBB a,,,,,
D,,,BQT a,BQT a,BBB x,,,BBB x,,,,
E,,,BSD a,,,,,,,ALB x,,
F,,,,BSD a,YDN a,YDN a,YDN x,,,,,
G,BSD a,,BSD x,,YDN x,YDN a,YDN a,,,,,
H,,BSD a,,BSD x,,,,,,,,
