Source.Wells,Source.Plate,strain,mating,drug,Target.Wells,Target.Plate,Volume
F08,01_04,CCD x,x,KAN,F10,x_KAN_1,2
G07,01_04,CCD x,x,KAN,F11,x_KAN_1,2
B09,01_05,BPV x,x,KAN,F12,x_KAN_1,2
B10,01_05,BPV x,x,KAN,G01,x_KAN_1,2
C10,01_05,BPV x,x,KAN,G02,x_KAN_1,2
D09,01_05,BPV x,x,KAN,G03,x_KAN_1,2
E09,01_05,YBS x,x,KAN,G04,x_KAN_1,2
F08,01_05,BFD x,x,KAN,G05,x_KAN_1,2
G04,01_05,CIT x,x,KAN,G06,x_KAN_1,2
G05,01_05,BFD x,x,KAN,G07,x_KAN_1,2
G06,01_05,BFD x,x,KAN,G08,x_KAN_1,2
H11,01_05,YBS x,x,KAN,G09,x_KAN_1,2
A11,01_06,BHT x,x,KAN,G10,x_KAN_1,2
B11,01_06,BHT x,x,KAN,G11,x_KAN_1,2
C04,01_06,AKE x,x,KAN,G12,x_KAN_1,2
C05,01_06,CDL x,x,KAN,H01,x_KAN_1,2
C07,01_06,CDL x,x,KAN,H02,x_KAN_1,2
C10,01_06,BHT x,x,KAN,H03,x_KAN_1,2
D03,01_06,AKE x,x,KAN,H04,x_KAN_1,2
D06,01_06,CDL x,x,KAN,H05,x_KAN_1,2
D09,01_06,BHT x,x,KAN,H06,x_KAN_1,2
E07,01_06,JLF x,x,KAN,H07,x_KAN_1,2
F04,01_06,BVD x,x,KAN,H08,x_KAN_1,2
F07,01_06,JLF x,x,KAN,H09,x_KAN_1,2
F09,01_06,CLB x,x,KAN,H10,x_KAN_1,2
F11,01_06,CLB x,x,KAN,H11,x_KAN_1,2
G08,01_06,JLF x,x,KAN,H12,x_KAN_1,2
